0	34.4286
1	35.0687
2	33.3629
3	35.3715
4	34.385
5	32.6689
6	34.3858
7	35.9443
8	32.5644
9	33.935
10	34.7125
11	35.1439
12	34.9957
13	35.2546
14	35.4483
15	36.0196
16	34.6848
17	33.9776
18	34.4954
19	35.0141
20	34.5354
21	33.8312
22	31.0611
23	34.0318
24	32.813
25	32.9572
26	33.2562
27	33.4267
28	32.8183
29	34.6585
30	34.3262
31	33.7081
32	34.0565
33	35.4339
34	36.8929
35	36.9609
36	35.9821
37	36.3535
38	37.2659
39	35.2308
40	34.5991
41	35.5991
42	34.3798
43	35.0873
44	34.8625
45	35.8151
46	35.8692
47	34.4807
48	34.2116
49	36.2019
50	35.9784
51	34.6581
52	34.7783
53	34.555
54	34.855
55	35.4609
56	34.4956
57	34.5211
58	34.7837
59	34.1757
60	35.0009
61	33.4618
62	35.248
63	33.5123
64	35.9048
65	35.1312
66	35.1063
67	36.4168
68	35.6175
69	35.8146
70	35.3527
71	35.0728
72	35.7019
73	35.311
74	34.3502
75	35.3397
76	35.541
77	34.4801
78	35.36
79	34.3248
80	34.3437
81	34.4277
82	35.4539
83	35.558
84	34.113
85	34.4027
86	34.3051
87	35.077
88	34.5997
89	35.1706
90	33.8029
91	34.3013
92	34.74
93	35.4117
94	34.9068
