0	33.4291
1	36.0602
2	33.7692
3	35.3219
4	34.9691
5	33.5429
6	34.7753
7	35.3518
8	33.7598
9	34.9448
10	34.1588
11	35.7581
12	35.0643
13	33.2282
14	35.7965
15	34.9011
16	34.7002
17	35.524
18	34.0391
19	34.6738
20	33.1224
21	34.8347
22	34.7545
23	34.6478
24	34.052
25	34.02
26	34.3901
27	34.4643
28	33.4744
29	33.8187
30	34.2857
31	34.7388
32	35.3643
33	35.0227
34	36.2523
35	34.8307
36	35.0154
37	35.4386
38	36.1913
39	35.5927
40	34.2095
41	35.4104
42	34.8515
43	35.6889
44	35.0148
45	35.8862
46	35.3738
47	35.3586
48	35.0813
49	35.8296
50	35.7132
51	35.5357
52	35.5729
53	34.4669
54	34.2516
55	36.4641
56	34.5249
57	34.228
58	34.51
59	35.511
60	34.2545
61	34.5148
62	35.3594
63	35.044
64	36.2649
65	35.8624
66	36.6938
67	37.6073
68	37.4701
69	36.4799
70	36.9694
71	35.9286
72	35.2802
73	37.4038
74	36.4479
75	36.6782
76	37.0996
77	36.1159
78	36.2337
79	35.9274
80	36.5809
81	35.4446
82	36.4676
83	37.6753
84	36.1266
85	36.1758
86	35.8725
87	37.2222
88	35.8439
89	35.7229
90	35.5754
91	36.5914
92	37.0893
93	35.9658
94	34.2766
